seed,control_population,agent_population,control_prosperity,agent_prosperity,control_hunger,agent_hunger,control_active_settlements,agent_active_settlements,control_closed_routes,agent_closed_routes,repairs,repair_failures,travel_attempts,travel_successes,jobs_accepted,jobs_completed,combats_initiated,combats_won,combats_lost,route_jobs_accepted,relief_jobs_accepted,jobs_resolved,jobs_expired,jobs_abandoned,jobs_unresolved,objective_loss,objective_pass
1,10762,10935,27,28,66,65,6,6,2,1,2,0,3470,192,3,2,0,0,0,3,0,0,1,0,2,50,0
2,12692,12509,46,45,49,40,6,6,2,3,2,0,4546,123,9,2,0,0,0,9,0,0,2,0,7,160,0
3,12348,12008,48,43,29,41,6,6,1,1,2,0,3763,371,3,2,0,0,0,3,0,0,1,0,2,50,0
4,11252,11597,27,26,59,58,6,6,2,7,2,0,4219,488,9,2,0,0,0,9,0,0,2,0,7,160,0
5,12664,12966,44,44,38,28,6,6,1,1,2,0,4200,784,5,2,0,0,0,5,0,0,1,0,4,90,0
6,13644,13128,45,44,36,40,6,6,0,3,2,0,3396,499,9,2,0,0,0,9,0,0,2,0,7,160,0
7,12550,12238,45,44,42,43,6,6,1,5,2,0,4051,511,4,2,0,0,0,4,0,0,1,0,3,70,0
8,12797,13442,49,45,41,49,6,6,0,4,2,0,3953,278,4,2,0,0,0,4,0,0,1,0,3,70,0
9,12947,12603,50,40,38,38,6,6,2,3,2,0,4875,471,10,2,0,0,0,10,0,0,2,0,8,180,0
10,11421,11450,28,27,67,64,6,6,0,0,1,0,3476,161,5,1,0,0,0,5,0,0,1,0,4,90,0
11,12352,12062,45,44,40,41,6,6,0,5,2,0,3270,548,5,2,0,0,0,5,0,0,1,0,4,90,0
12,13549,13375,46,44,34,39,6,6,1,2,2,0,5235,401,4,2,0,0,0,4,0,0,1,0,3,70,0
13,12932,12381,50,46,24,37,6,6,1,1,2,0,3651,289,4,2,0,0,0,4,0,0,1,0,3,70,0
14,12102,12475,47,47,34,32,6,6,1,1,2,0,5363,474,4,2,0,0,0,4,0,0,1,0,3,70,0
15,12882,12766,47,47,44,40,6,6,2,3,2,0,4665,579,3,2,0,0,0,3,0,0,1,0,2,50,0
16,12405,12627,45,47,41,23,6,6,1,1,2,0,5183,531,3,2,0,0,0,3,0,0,1,0,2,50,0
17,11814,12566,29,28,67,58,6,6,4,0,2,0,3317,320,3,2,0,0,0,3,0,0,1,0,2,50,0
18,11377,11578,29,28,55,51,6,6,1,0,2,0,3326,317,4,2,0,0,0,4,0,0,1,0,3,70,0
19,13187,13122,47,45,43,35,6,6,1,1,2,0,4625,494,3,2,0,0,0,3,0,0,1,0,2,50,0
20,12496,12110,46,27,35,45,6,6,1,3,2,0,5081,453,3,2,0,0,0,3,0,0,1,0,2,50,0
