seed_number,world_seed,schema_version,generator_version,year,day,route_id,from_id,to_id,from_kingdom_id,to_kingdom_id,from_population,to_population,condition,closed,war_border,smuggler_route,interval_days,closed_days,war_border_days,unavailable_inhabited_days,unavailable_ruin_days,cumulative_sampled_days,cumulative_closed_days,cumulative_war_border_days,cumulative_unavailable_inhabited_days,cumulative_unavailable_ruin_days,current_outage_days,longest_outage_days
4,2027808484,59,25,40,14601,216172782113783822,144115188075855880,144115188075855881,72057594037927939,72057594037927939,7651,594,100,1,0,0,365,365,0,365,0,14600,9310,0,9310,0,9310,9310
4,2027808484,59,25,40,14601,216172782113783823,144115188075855881,144115188075855877,72057594037927939,72057594037927937,594,465,57,1,0,0,365,365,0,365,0,14600,11242,0,11242,0,11242,11242
4,2027808484,59,25,40,14601,216172782113783824,144115188075855877,144115188075855879,72057594037927937,72057594037927937,465,404,0,1,0,1,365,365,0,365,0,14600,11438,681,11438,0,11438,11438
4,2027808484,59,25,40,14601,216172782113783825,144115188075855878,144115188075855880,72057594037927938,72057594037927939,587,7651,35,1,0,0,365,365,0,365,0,14600,10374,0,10374,0,10374,10374
5,387276957,59,25,40,14601,216172782113783818,144115188075855876,144115188075855877,72057594037927937,72057594037927937,2801,517,99,1,0,0,365,365,0,365,0,14600,5530,0,5530,0,5530,5530
5,387276957,59,25,40,14601,216172782113783819,144115188075855877,144115188075855878,72057594037927937,72057594037927938,517,4201,94,1,0,0,365,365,0,365,0,14600,12276,1241,12276,0,11018,11018
5,387276957,59,25,40,14601,216172782113783820,144115188075855878,144115188075855879,72057594037927938,72057594037927937,4201,455,48,1,0,0,365,365,0,365,0,14600,9310,0,9310,0,9310,9310
5,387276957,59,25,40,14601,216172782113783821,144115188075855879,144115188075855880,72057594037927937,72057594037927939,455,8821,52,1,0,0,365,365,0,365,0,14600,9394,0,9394,0,9394,9394
5,387276957,59,25,40,14601,216172782113783822,144115188075855880,144115188075855881,72057594037927939,72057594037927939,8821,741,100,1,0,0,365,365,0,365,0,14600,6846,0,6846,0,6846,6846
5,387276957,59,25,40,14601,216172782113783823,144115188075855881,144115188075855877,72057594037927939,72057594037927937,741,517,46,1,0,0,365,365,0,365,0,14600,11382,0,11382,0,11382,11382
5,387276957,59,25,40,14601,216172782113783824,144115188075855877,144115188075855879,72057594037927937,72057594037927937,517,455,0,1,0,1,365,365,0,365,0,14600,10094,1241,10094,0,10094,10094
5,387276957,59,25,40,14601,216172782113783825,144115188075855878,144115188075855880,72057594037927938,72057594037927939,4201,8821,75,1,0,0,365,365,0,365,0,14600,9506,0,9506,0,9506,9506
6,3041712726,59,25,40,14601,216172782113783818,144115188075855876,144115188075855877,72057594037927937,72057594037927937,2803,472,0,1,0,0,365,365,0,365,0,14600,7378,0,7378,0,7378,7378
6,3041712726,59,25,40,14601,216172782113783819,144115188075855877,144115188075855878,72057594037927937,72057594037927938,472,3749,20,1,0,1,365,365,0,365,0,14600,12360,1241,12360,0,11326,11326
6,3041712726,59,25,40,14601,216172782113783820,144115188075855878,144115188075855879,72057594037927938,72057594037927937,3749,465,21,1,0,0,365,365,0,365,0,14600,10794,0,10794,0,10794,10794
6,3041712726,59,25,40,14601,216172782113783821,144115188075855879,144115188075855880,72057594037927937,72057594037927939,465,8200,28,1,0,0,365,365,0,365,0,14600,10710,0,10710,0,10710,10710
6,3041712726,59,25,40,14601,216172782113783822,144115188075855880,144115188075855881,72057594037927939,72057594037927939,8200,1244,64,1,0,0,365,365,0,365,0,14600,1666,0,1666,0,1666,1666
6,3041712726,59,25,40,14601,216172782113783823,144115188075855881,144115188075855877,72057594037927939,72057594037927937,1244,472,28,1,0,0,365,365,0,365,0,14600,11354,0,11354,0,11354,11354
6,3041712726,59,25,40,14601,216172782113783824,144115188075855877,144115188075855879,72057594037927937,72057594037927937,472,465,0,1,0,1,365,365,0,365,0,14600,12754,1241,12754,0,12754,12754
6,3041712726,59,25,40,14601,216172782113783825,144115188075855878,144115188075855880,72057594037927938,72057594037927939,3749,8200,21,1,0,0,365,365,0,365,0,14600,8946,4480,11680,0,11680,11680
7,1401181199,59,25,40,14601,216172782113783818,144115188075855876,144115188075855877,72057594037927937,72057594037927937,2801,440,100,1,0,0,365,365,0,365,0,14600,5250,0,5250,0,5250,5250
7,1401181199,59,25,40,14601,216172782113783819,144115188075855877,144115188075855878,72057594037927937,72057594037927938,440,4065,53,0,0,0,365,0,0,0,0,14600,10610,681,10610,0,0,9912
7,1401181199,59,25,40,14601,216172782113783820,144115188075855878,144115188075855879,72057594037927938,72057594037927937,4065,405,62,1,0,0,365,365,0,365,0,14600,9058,0,9058,0,9058,9058
7,1401181199,59,25,40,14601,216172782113783821,144115188075855879,144115188075855880,72057594037927937,72057594037927939,405,8060,64,1,0,0,365,365,0,365,0,14600,9058,0,9058,0,9058,9058
7,1401181199,59,25,40,14601,216172782113783822,144115188075855880,144115188075855881,72057594037927939,72057594037927939,8060,1049,100,1,0,0,365,365,0,365,0,14600,7518,0,7518,0,7518,7518
7,1401181199,59,25,40,14601,216172782113783823,144115188075855881,144115188075855877,72057594037927939,72057594037927937,1049,440,47,1,0,0,365,365,0,365,0,14600,11662,0,11662,0,11662,11662
7,1401181199,59,25,40,14601,216172782113783824,144115188075855877,144115188075855879,72057594037927937,72057594037927937,440,405,1,1,0,1,365,365,0,365,0,14600,9618,681,9618,0,9618,9618
7,1401181199,59,25,40,14601,216172782113783825,144115188075855878,144115188075855880,72057594037927938,72057594037927939,4065,8060,97,1,0,0,365,365,0,365,0,14600,10850,0,10850,0,10850,10850
8,4055616968,59,25,40,14601,216172782113783818,144115188075855876,144115188075855877,72057594037927937,72057594037927939,2800,473,7,1,0,0,365,365,0,365,0,14600,10486,0,10486,0,10486,10486
8,4055616968,59,25,40,14601,216172782113783819,144115188075855877,144115188075855878,72057594037927939,72057594037927938,473,3976,0,1,0,1,365,365,0,365,0,14600,12136,2473,12136,0,11410,11410
8,4055616968,59,25,40,14601,216172782113783820,144115188075855878,144115188075855879,72057594037927938,72057594037927939,3976,690,21,1,0,1,365,365,0,365,0,14600,6342,448,6388,0,6342,6342
8,4055616968,59,25,40,14601,216172782113783821,144115188075855879,144115188075855880,72057594037927939,72057594037927939,690,8636,1,1,0,1,365,365,0,365,0,14600,6230,113,6247,0,6230,6230
8,4055616968,59,25,40,14601,216172782113783822,144115188075855880,144115188075855881,72057594037927939,72057594037927939,8636,411,34,1,0,0,365,365,0,365,0,14600,4214,0,4214,0,4214,4214
8,4055616968,59,25,40,14601,216172782113783823,144115188075855881,144115188075855877,72057594037927939,72057594037927939,411,473,0,1,0,1,365,365,0,365,0,14600,12250,896,12266,0,12250,12250
8,4055616968,59,25,40,14601,216172782113783824,144115188075855877,144115188075855879,72057594037927939,72057594037927939,473,690,5,1,0,1,365,365,0,365,0,14600,6342,2473,6342,0,6342,6342
8,4055616968,59,25,40,14601,216172782113783825,144115188075855878,144115188075855880,72057594037927938,72057594037927939,3976,8636,27,1,0,0,365,365,0,365,0,14600,4970,448,5418,0,4970,4970
