seed,control_population,agent_population,control_prosperity,agent_prosperity,control_hunger,agent_hunger,control_active_settlements,agent_active_settlements,control_closed_routes,agent_closed_routes,repairs,repair_failures,travel_attempts,travel_successes,jobs_accepted,jobs_completed,combats_initiated,combats_won,combats_lost,route_jobs_accepted,relief_jobs_accepted,jobs_resolved,jobs_expired,jobs_abandoned,jobs_unresolved,objective_loss,objective_pass,world_seed,target_day,control_day,agent_day,control_maximum_hunger,agent_maximum_hunger,control_population_weighted_hunger,agent_population_weighted_hunger,control_abandoned_settlements,agent_abandoned_settlements,schema_version,generator_version,control_hash,agent_hash
1,10746,10470,30,29,65,67,6,6,1,0,2,0,3636,50,10,2,0,0,0,10,0,0,2,0,8,180,0,2654435769,3651,3651,3651,100,100,47,48,0,0,59,25,7934b95d489759cc,39b024e8dcb48b21
2,12600,12610,45,46,42,49,6,6,1,0,2,0,3292,329,4,2,0,0,0,4,0,0,1,0,3,70,0,1013904242,3651,3651,3651,96,100,31,36,0,0,59,25,bab3942b0b4567b1,cd1c3635b6c2a666
3,11905,11692,44,43,42,35,6,6,5,1,2,0,3834,218,4,2,0,0,0,4,0,0,1,0,3,70,0,3668340011,3651,3651,3651,100,100,32,26,0,0,59,25,b31050199b90cfbc,60ac63f13acfde53
4,11224,10974,27,26,59,57,6,6,3,2,2,0,5319,174,3,2,0,0,0,3,0,0,1,0,2,50,0,2027808484,3651,3651,3651,100,100,44,41,0,0,59,25,d0e7cd7acaa0565b,ec6e6ad3108a6c1b
5,12631,13174,43,55,38,21,6,6,2,2,2,0,4968,417,9,2,0,0,0,9,0,0,2,0,7,160,0,387276957,3651,3651,3651,100,69,30,15,0,0,59,25,b3a816e9e8f9f340,8402f72257b4a38c
6,12626,12568,42,45,41,36,6,6,3,1,2,0,3571,420,4,2,0,0,0,4,0,0,1,0,3,70,0,3041712726,3651,3651,3651,100,100,32,29,0,0,59,25,28d25d3d06d2c0f3,9c37475d30be5d5a
7,12232,13262,39,53,38,33,6,6,2,2,2,0,4613,654,4,2,0,0,0,4,0,0,1,0,3,70,0,1401181199,3651,3651,3651,100,77,27,27,0,0,59,25,c992ae2c08068bf2,7509cc7a95b3177f
8,13598,13140,47,46,31,35,6,6,2,2,2,0,5199,373,3,2,0,0,0,3,0,0,1,0,2,50,0,4055616968,3651,3651,3651,100,78,24,25,0,0,59,25,a2c9231204e51fe1,81dbdd88ed3ad5e6
