seed,control_population,agent_population,control_prosperity,agent_prosperity,control_hunger,agent_hunger,control_active_settlements,agent_active_settlements,control_closed_routes,agent_closed_routes,repairs,repair_failures,travel_attempts,travel_successes,jobs_accepted,jobs_completed,combats_initiated,combats_won,combats_lost,route_jobs_accepted,relief_jobs_accepted,jobs_resolved,jobs_expired,jobs_abandoned,jobs_unresolved,objective_loss,objective_pass,world_seed,target_day,control_day,agent_day,control_maximum_hunger,agent_maximum_hunger,control_population_weighted_hunger,agent_population_weighted_hunger,control_abandoned_settlements,agent_abandoned_settlements,schema_version,generator_version,control_hash,agent_hash
1,13370,13537,31,31,26,23,4,5,8,8,2,0,18717,50,10,2,0,0,0,10,0,0,2,0,8,180,0,2654435769,36501,36501,36501,85,96,4,2,2,1,59,25,174ae29a411455d4,3a37049f024447d9
2,13354,13296,34,38,5,5,4,4,8,8,2,0,12157,329,4,2,0,0,0,4,0,0,1,0,3,70,0,1013904242,36501,36501,36501,20,20,0,0,2,2,59,25,f1636ef4c0f304d7,c63fdaf59a9d324d
