seed_number,year,samples,ready,scribes,grain,paper,tools,binding,ledger_below_50,mean_ledger,lore_stored,lore_lost_total,archive_scribes,state_hash
1,71,52,0,52,0,0,0,0,52,0.000000,0,6,0,6417320165564924617
1,72,52,0,52,0,0,0,0,52,0.000000,0,6,0,17348227043342207435
1,73,52,0,52,0,0,0,0,52,0.000000,0,6,0,14756672629881414720
1,74,52,0,52,0,0,0,0,52,0.000000,0,6,0,8687649225998513435
1,75,52,0,52,0,0,0,0,52,0.000000,0,6,0,13070121538523398393
1,76,53,0,53,0,0,0,0,53,0.000000,0,6,0,1832988019630606790
1,77,52,0,52,0,0,0,0,52,0.000000,0,6,0,18439348355474881031
1,78,52,0,52,0,0,0,0,52,0.000000,0,6,0,8334630386535452019
1,79,52,0,52,0,0,0,0,52,0.000000,0,6,0,17051795163047195571
1,80,52,0,52,0,0,0,0,52,0.000000,0,6,0,11883713818978011681
1,81,52,0,52,0,0,0,0,52,0.000000,0,6,0,17262635926204143129
1,82,52,0,52,0,0,0,0,52,0.000000,0,6,0,12604854495753303072
1,83,53,0,53,0,0,0,0,53,0.000000,0,6,0,5388333714677919109
1,84,52,0,52,0,0,0,0,52,0.000000,0,6,0,9409835308252480173
1,85,52,0,52,0,0,0,0,52,0.000000,0,6,0,2859787523245210552
1,86,52,0,52,0,0,0,0,52,0.000000,0,6,0,10810682817726756172
1,87,52,0,52,0,0,0,0,52,0.000000,0,6,0,4631274117232489173
1,88,52,0,52,0,0,0,0,52,0.000000,0,6,0,8609277180024713079
1,89,52,0,52,0,0,0,0,52,0.000000,0,6,0,11392554819655866223
1,90,53,0,53,0,0,0,0,53,0.000000,0,6,0,13136719299560593791
1,91,52,0,52,0,0,0,0,52,0.000000,0,6,0,9264465879250325020
1,92,52,0,52,0,0,0,0,52,0.000000,0,6,0,9094448215059985457
1,93,52,0,52,0,0,0,0,52,0.000000,0,6,0,4594249660878091453
1,94,52,0,52,0,0,0,0,52,0.000000,0,6,0,16837925945834271830
1,95,52,0,52,0,0,0,0,52,0.000000,0,6,0,3905112376914365869
1,96,52,0,52,0,0,0,0,52,0.000000,0,6,0,1684825766862569799
1,97,53,0,53,0,0,0,0,53,0.000000,0,6,0,3693256952366805877
1,98,52,0,52,0,0,0,0,52,0.000000,0,6,0,824647185366401669
1,99,52,0,52,0,0,0,0,52,0.000000,0,6,0,11985769311447640387
1,100,52,0,52,0,0,0,0,52,0.000000,0,6,0,2242607171719311540
2,1,52,0,0,5,0,0,47,0,399.653846,0,0,2,14304089765501579637
2,2,52,0,0,52,0,0,0,0,237.538462,0,0,1,10047900871146670037
2,3,52,0,48,4,0,0,0,47,14.442308,0,0,0,14969631500892714197
2,4,52,0,52,0,0,0,0,52,6.076923,0,0,0,7737123011063181126
2,5,52,0,52,0,0,0,0,52,13.019231,0,0,0,12187116764786437074
2,6,53,0,53,0,0,0,0,53,16.792453,0,0,0,7464445635026063062
2,7,52,0,15,0,0,37,0,14,95.769231,0,0,2,9544002196440213524
2,8,52,0,0,0,0,52,0,0,295.346154,0,0,4,5448757906839158469
2,9,52,0,0,0,0,52,0,0,438.826923,0,0,4,14080197764384798189
2,10,52,0,0,0,0,52,0,0,365.096154,0,0,4,17936487066953035729
2,11,52,0,0,0,0,52,0,0,317.384615,0,0,2,9248801436107102851
2,12,52,0,0,0,0,52,0,0,245.942308,0,0,2,4621979333504680897
2,13,53,0,0,0,0,53,0,0,144.396226,0,0,1,9902393619015784186
2,14,52,0,0,0,0,52,0,0,180.250000,0,0,2,3863839556906348784
2,15,52,0,0,0,0,52,0,0,134.884615,0,0,1,2399998281794115403
2,16,52,0,0,0,0,52,0,0,131.288462,0,0,1,9796642025968821613
2,17,52,0,0,0,0,52,0,0,133.384615,0,0,1,8350505687578384869
2,18,52,0,0,0,0,52,0,0,96.307692,0,0,1,11454836074329753346
2,19,52,0,0,0,0,52,0,0,114.000000,0,0,1,8505403513653319826
2,20,53,0,0,0,0,53,0,0,143.981132,0,0,2,2735943087073102687
2,21,52,0,0,0,0,52,0,0,141.173077,0,0,2,16103915374882979005
2,22,52,0,0,0,0,52,0,0,182.365385,0,0,2,6296251948444854725
2,23,52,0,0,0,0,52,0,0,239.634615,0,0,4,15283853135780292654
2,24,52,0,0,0,0,52,0,0,318.788462,0,0,2,8414047530844919069
2,25,52,0,0,0,0,52,0,0,313.769231,0,0,4,2438794697443975958
2,26,52,0,0,0,0,52,0,0,265.461538,0,0,2,6422968782235625489
2,27,53,0,0,0,0,53,0,0,240.981132,0,0,2,12741261652325011228
2,28,52,0,0,0,0,52,0,0,309.519231,0,0,4,7319256622149721795
2,29,52,0,0,0,0,52,0,0,295.423077,0,0,2,1456219303925126004
2,30,52,0,0,0,0,52,0,0,259.442308,0,0,4,4551429153836106834
2,31,52,0,0,0,0,52,0,0,276.096154,0,0,2,12274464912894103919
2,32,52,0,0,0,0,52,0,0,239.865385,0,0,2,10142769925336365064
2,33,52,0,0,0,0,52,0,0,256.942308,0,0,2,17025646828118401350
2,34,53,0,0,0,0,53,0,0,275.188679,0,0,4,5886228010695622743
2,35,52,0,0,0,0,52,0,0,243.923077,0,0,2,16251957851761145774
2,36,52,0,0,0,0,52,0,0,309.519231,0,0,2,1931590672475299665
2,37,52,0,0,0,0,52,0,0,293.576923,0,0,4,15403331978990725469
2,38,52,0,0,0,0,52,0,0,341.615385,0,0,4,2258489798680861108
2,39,52,0,0,0,0,52,0,0,265.442308,0,0,2,7173955557119684548
2,40,52,0,0,0,0,52,0,0,193.019231,0,0,2,10831559734450328378
2,41,53,0,0,0,0,53,0,0,161.509434,0,0,2,14543644769269752022
2,42,52,0,0,0,0,52,0,0,195.000000,0,0,2,9442197600060925787
2,43,52,0,0,0,0,52,0,0,270.230769,0,0,2,6801747387056111341
