seed_number,world_seed,year,average_hunger,maximum_hunger,average_prosperity,minimum_prosperity,maximum_prosperity,average_security,minimum_security,maximum_security,average_food_price,maximum_food_price,closed_routes,active_situations,bandit_influence,monster_pressure,average_legitimacy,shipment_slots,event_count,goblin_tributes,dragon_hoard,dragon_stolen,dragon_retaliations,average_inequality,maximum_inequality,average_war_burden,maximum_war_burden,hoard_raids,social_hoard_raids,war_hoard_raids,tracked_gold,market_coins,war_chests,total_food_stock,average_war_supply_crisis,maximum_war_supply_crisis,total_kingdom_treasury,treasure_count,goblin_lair_food,goblin_lair_weapons,dragon_raw_gold,dragon_gems,tracked_iron,tracked_tools,tracked_weapons,iron_ledger_reserve,iron_ledger_debt,smuggler_routes,goblin_hoard_defenses,wars,alliances,active_couriers,lost_couriers,distorted_couriers,dragon_slain,dragon_campaign_attempts,dragon_campaign_victories,dragon_campaign_defeats,dragon_stage,dragon_age_years,dragon_crown_strength,dragon_body_condition,dragon_memory_integrity,dragon_territory_stability,dragon_regional_influence,dragon_eggs,dragon_hunts,dragon_broods,dragon_whelps_dispersed,dragon_afterdeath_days,active_settlements,abandoned_settlements,total_population,climate_factor,dragon_campaign_experience,minimum_active_settlements,maximum_closed_routes,years_all_routes_closed,years_with_abandoned_settlement,route_closures,settlement_abandonments,years_hunger_40_plus,years_hunger_60_plus,years_at_war,years_allied,years_dragon_campaign,years_goblin_raid,years_bandit_raid,years_bandit_influence_70_plus,goblin_members_end,goblin_devotion_end,goblin_cohesion_end,goblin_interceptions_end,bandit_members_end,bandit_supplies_end,bandit_influence_end,bandit_raids_end,dragon_campaign_phase_end,days_at_war,days_allied,days_dragon_campaign,days_goblin_raid,days_bandit_raid,days_bandit_influence_70_plus,dragon_egg_days,dragon_whelp_days,dragon_wanderer_days,dragon_crowned_days,dragon_deep_wyrm_days,dragon_uncrowned_days,dragon_afterdragon_days,archive_scribes,lore_stored,lore_lost_total,archive_stewardship,archive_last_recorded_day,lore_ceiling,archive_tool_wear,archive_abbot_present,population_weighted_hunger,live_treasures,live_treasure_value,newest_treasure_day,oldest_treasure_day,treasures_from_ruins,treasures_in_ruins,treasure_identity_hash,next_entity_serial,character_coins,hungry_travellers,unsheltered_travellers,named_bandits
1,2654435769,40,62,100,27,0,87,34,0,100,7,8,7,9,100,63,2,3,256,254,2964,0,1,45,58,2,10,1,1,0,3341,217,118,52,0,0,0,1,10,6,0,1,14904,5,26,0,0,2,1,0,0,0,0,0,0,0,0,0,3,338,64,62,100,92,67,0,6,0,0,0,6,0,12169,100,0,6,7,0,0,13,0,38,17,1,0,0,10,18,39,13,100,56,0,120,100,100,520,0,569,0,0,3254,5820,14086,0,0,0,14600,0,0,0,0,0,0,12,0,75,0,1,12,1,140,21,21,0,0,16097018784585503795,41700,0,0,0,0
2,1013904242,40,50,100,42,0,100,46,0,100,7,8,8,10,100,72,27,3,256,242,3297,0,1,46,58,2,10,1,1,0,3509,48,118,86,0,0,4,2,159,6,2,0,14894,5,64,0,0,1,1,0,0,0,0,0,0,0,0,0,3,286,64,62,100,100,67,0,6,0,0,0,6,0,16614,58,0,6,8,1,0,8,0,28,0,3,0,0,7,19,37,48,100,93,0,120,100,100,486,0,1129,0,0,3234,5832,13237,0,0,0,14600,0,0,0,0,0,1,12,343,40,1,1,8,2,146,343,21,0,0,7646024783402416149,41491,0,0,0,0
3,3668340011,40,45,100,33,0,78,46,0,100,7,8,8,11,100,62,49,3,256,53,572,0,1,47,59,2,10,1,1,0,3304,346,118,59,0,0,1757,0,16,6,0,2,14962,5,57,469,11,2,1,0,0,0,0,0,0,0,0,0,3,283,50,62,100,100,60,0,6,0,0,0,6,0,14892,132,0,6,8,22,0,8,0,33,0,8,0,0,8,19,36,48,100,71,0,120,100,100,473,0,3369,0,0,2662,5344,13076,0,0,0,14600,0,0,0,4,0,0,72,0,75,0,1,11,0,0,0,0,0,0,14695981039346656037,36963,0,0,0,0
4,2027808484,40,44,100,30,0,78,48,0,100,7,8,8,9,100,72,21,3,256,168,1745,0,3,44,62,2,10,2,2,0,3373,529,116,54,0,0,590,1,0,5,1,2,14971,5,33,351,142,1,2,0,0,0,0,0,0,0,0,0,3,312,55,62,100,100,62,0,6,0,0,0,6,0,12503,100,0,6,8,20,0,8,0,36,13,1,0,0,11,20,38,48,100,97,0,120,100,100,502,0,681,0,0,3086,6024,13699,0,0,0,14600,0,0,0,4,0,1,72,182,40,1,1,10,1,6,182,182,0,0,16096526203376065267,46362,0,0,0,0
5,387276957,40,40,100,37,0,79,46,0,100,7,8,8,10,100,63,38,3,256,190,2199,0,1,44,58,2,10,1,1,0,3349,462,118,40,0,0,176,5,0,6,0,1,14954,5,60,352,34,1,1,0,0,0,0,0,0,0,0,0,3,260,77,62,100,100,73,0,6,0,0,0,6,0,17536,58,0,6,8,16,0,8,0,23,0,3,0,0,7,17,35,48,100,100,0,120,100,100,465,0,1241,0,0,3142,5580,12656,0,0,0,14600,0,0,0,4,0,3,72,7,40,1,1,7,5,298,21,7,0,0,15169190907128996049,47136,0,0,0,0
6,3041712726,40,42,100,38,0,78,46,0,100,7,8,8,10,100,64,26,3,256,62,706,0,3,46,58,2,10,3,3,0,3459,310,90,92,0,0,1831,3,0,4,0,1,15045,5,57,480,0,2,3,0,0,0,0,0,0,0,0,0,3,338,71,62,100,100,70,0,6,0,0,0,6,0,16933,100,0,6,8,5,0,8,0,22,0,15,0,0,6,19,37,48,100,50,0,120,100,100,486,0,5721,0,0,2728,5372,13181,0,0,0,14600,0,0,0,4,0,2,72,7,40,1,1,9,3,152,21,7,0,0,7085178270470229939,37727,0,0,0,0
7,1401181199,40,39,94,39,0,80,48,0,100,6,8,7,8,100,72,38,3,256,187,2345,0,1,44,56,2,10,1,1,0,3314,550,118,105,0,0,249,1,0,6,1,3,15019,5,56,10,211,1,1,0,0,0,0,0,0,0,0,0,3,286,62,62,100,100,66,0,6,0,0,0,6,0,16820,100,0,6,8,8,0,8,0,22,0,1,0,0,13,20,38,48,100,99,0,120,100,100,496,0,681,0,0,3144,5952,13699,0,0,0,14600,0,0,0,0,0,1,12,91,40,1,1,8,1,6,91,91,0,0,16096783489097066641,47004,0,0,0,0
8,4055616968,40,49,100,38,0,78,46,0,100,7,8,8,10,100,63,50,3,256,223,3236,0,3,49,58,2,10,3,2,1,3319,41,0,96,0,0,0,0,0,4,1,2,15379,5,31,0,0,5,3,0,0,0,0,0,0,0,0,0,3,283,58,62,100,100,64,0,6,0,0,0,6,0,16986,100,0,6,8,12,0,8,0,23,0,19,0,0,8,15,35,12,100,48,0,120,100,100,458,0,7403,0,0,3174,4914,12460,0,0,0,14600,0,0,0,0,0,0,12,0,75,0,1,9,0,0,0,0,0,0,14695981039346656037,40470,0,0,0,0
